weightclass,Weight In Kg,Average Submissions Attempted Per 15 Minutes,Average Takedowns Landed Per 15 Minutes,Date Of Birth,Draws,Height Cm,Losses,Name,Nickname,Reach In Cm,Significant Strike Defence,Significant Strikes Absorbed Per Minute,Significant Strikes Landed Per Minute,Significant Striking Accuracy,Stance,Takedown Accuracy,Takedown Defense,Wins
Welterweight (70.4–77.1 kg),70.31,0,1.77,9/30/1991,0,170.18,4,Brad Riddell,"""Quake""",180.34,53,3.53,4.71,53,Orthodox,36,63,10
Featherweight (61.3–65.8 kg),61.23,0,0,8/16/1990,0,170.18,5,Victor Madrigal,,180.34,50,9.56,2.31,38,Orthodox,0,0,15
Featherweight (61.3–65.8 kg),65.77,0.3,1.07,8/6/1991,0,170.18,7,Dan Ige,"""50K""",180.34,57,3.53,3.76,45,Orthodox,26,58,17
Welterweight (70.4–77.1 kg),70.31,0.3,0.44,2/3/1980,0,170.18,9,Rodrigo Damm,,180.34,57,5.61,3.5,36,Orthodox,16,80,13
Featherweight (61.3–65.8 kg),65.77,0.3,4.71,2/11/1994,0,170.18,0,Movsar Evloev,,182.88,61,2.74,4.57,49,Orthodox,50,71,17
Flyweight (≤56.7 kg),56.7,0,0,8/20/1995,0,170.18,1,Juan Andres Luna,,182.88,65,3,3.27,31,Orthodox,0,0,12
Featherweight (61.3–65.8 kg),61.23,0,0,6/20/1987,0,170.18,3,Bharat Kandare,"""Daring""",182.88,72,1.88,0.7,10,Orthodox,0,0,5
Welterweight (70.4–77.1 kg),70.31,0,3.4,10/11/1996,0,170.18,3,Arman Tsarukyan,"""Ahalkalakets""",182.88,54,1.91,3.85,48,Orthodox,36,75,21
Featherweight (61.3–65.8 kg),61.23,0,0.43,8/30/1981,0,170.18,9,Cole Escovedo,"""Apache Kid""",182.88,49,4.32,1.77,43,Orthodox,33,13,17
Middleweight (77.2–83.9 kg),77.11,0.4,2.7,3/1/1983,0,170.18,13,John Howard,"""Doomsday""",182.88,51,3.08,2.15,50,Orthodox,49,53,24
Welterweight (70.4–77.1 kg),70.31,0,0.16,9/7/1988,0,170.18,5,Kevin Aguilar,"""Angel of Death""",185.42,52,4.81,3.96,40,Orthodox,16,78,17
Welterweight (70.4–77.1 kg),70.31,0,0,11/4/1977,0,172.72,2,Kelly Dullanty,"""Psycho Kelly""",,75,0.67,0,0,Orthodox,0,66,4
Featherweight (61.3–65.8 kg),65.77,0,0,8/28/1988,0,172.72,2,Pat Schilling,"""Thrilling""",,52,8.24,1.87,26,Orthodox,0,0,5
Welterweight (70.4–77.1 kg),70.31,0,0,1/22/1980,0,172.72,2,Jorge de Oliveira,"""Blade""",,48,4.84,1.26,31,Orthodox,0,22,9
Featherweight (61.3–65.8 kg),61.23,0,0,10/12/1986,0,172.72,2,Rico DiSciullo,,,56,4.41,1.71,33,Orthodox,0,0,9
Welterweight (70.4–77.1 kg),72.57,0,0,,0,172.72,3,Eugenio Tadeu,,,0,0,0,0,Orthodox,0,0,2
Featherweight (61.3–65.8 kg),61.23,0,0,8/16/1983,0,172.72,3,Byron Bloodworth,,,50,5.18,1.82,28,Orthodox,0,0,6
Middleweight (77.2–83.9 kg),77.11,0,2.02,5/28/1982,0,172.72,3,Brian Melancon,,,64,3.64,4.18,49,Orthodox,100,66,7
Welterweight (70.4–77.1 kg),70.31,0,0,7/22/1986,0,172.72,3,Cain Carrizosa,"""The Insane""",,51,5.8,2.72,42,Orthodox,0,14,10
Middleweight (77.2–83.9 kg),77.11,0,3,,0,172.72,3,Ben Earwood,,,33,0.2,0.5,55,Orthodox,100,0,12
Middleweight (77.2–83.9 kg),77.11,0,3.46,11/26/1974,0,172.72,4,Richie Hightower,"""The Dirty Samurai""",,21,6.92,4.62,35,Orthodox,100,100,8
Light Heavyweight (84.0–93.0 kg),88,0,0,,0,172.72,6,Darrel Gholar,,,0,0,0,0,Orthodox,0,0,5
Welterweight (70.4–77.1 kg),70.31,0,0,1/13/1979,0,172.72,6,Nick Agallar,,,42,4.56,0.69,11,Orthodox,0,0,24
Welterweight (70.4–77.1 kg),70.31,0,0.5,7/28/1987,0,172.72,6,Willamy Freire,"""Chiquerim""",,62,0.93,1.53,37,Orthodox,100,73,26
Welterweight (70.4–77.1 kg),70.31,0,0,8/23/1983,0,172.72,7,Scott McAfee,"""The Alaskan Hammer""",,50,1.33,0,0,Orthodox,0,0,14
Flyweight (≤56.7 kg),56.7,0,0,11/28/1983,0,172.72,10,Shane Howell,,,42,2.55,1.27,32,Orthodox,0,20,13
Featherweight (61.3–65.8 kg),65.77,0.3,1,9/7/1983,0,172.72,10,Ian Loveland,"""The Barn Owl""",,64,2.36,2.71,40,Orthodox,37,69,18
Middleweight (77.2–83.9 kg),77.11,0,1.36,2/6/1974,0,172.72,11,Zach Light,"""The Lisbon Outlaw""",,48,1.9,0.81,33,Orthodox,100,0,9
Middleweight (77.2–83.9 kg),77.11,0,1.19,2/18/1980,0,172.72,17,Ross Pointon,"""The Gladiator""",,58,2.77,2.62,23,Orthodox,100,0,6
Featherweight (61.3–65.8 kg),61.23,0,1.13,7/7/1991,0,172.72,5,Cody Garbrandt,"""No Love""",165.1,61,3.89,3,40,Orthodox,34,78,13
Flyweight (≤56.7 kg),56.7,0.3,1.24,10/25/1993,0,172.72,2,Carlos Hernandez,,170.18,49,4.41,5.51,46,Orthodox,16,65,9
Light Heavyweight (84.0–93.0 kg),92.99,0,0,2/23/1994,0,172.72,3,Al Matavao,,170.18,58,6.7,7.84,46,Orthodox,0,0,8
Featherweight (61.3–65.8 kg),65.77,0,0.72,5/15/1990,0,172.72,4,Justin Lawrence,"""The American Kidd""",170.18,67,2.83,3.84,35,Orthodox,28,73,10
Featherweight (61.3–65.8 kg),61.23,0,0.25,11/19/1987,0,172.72,2,Aiemann Zahabi,,172.72,72,3.4,3.04,43,Orthodox,16,75,10
Featherweight (61.3–65.8 kg),65.77,0,1.45,2/16/1986,0,172.72,3,Mark Eddiva,,172.72,54,2.98,3.37,45,Orthodox,22,63,6
Featherweight (61.3–65.8 kg),65.77,0,0,10/22/1996,0,172.72,4,Manolo Zecchini,"""Angelo Veneziano""",172.72,46,6.75,2.34,21,Orthodox,0,0,11
Featherweight (61.3–65.8 kg),61.23,0.1,2.82,3/9/1985,0,172.72,4,Dominick Cruz,"""The Dominator""",172.72,70,2.61,3.91,33,Orthodox,42,83,24
Welterweight (70.4–77.1 kg),70.31,0,0.21,6/16/1986,0,172.72,5,Chris Gruetzemacher,"""Gritz""",172.72,52,4.96,6.18,57,Orthodox,50,65,15
Featherweight (61.3–65.8 kg),65.77,0,0.7,8/27/1982,0,172.72,6,Akira Corassani,,172.72,50,4.91,3.25,45,Orthodox,28,86,12
Featherweight (61.3–65.8 kg),61.23,0.2,3.16,11/19/1989,0,172.72,6,Erik Perez,"""Goyito""",172.72,66,2.09,3.16,40,Orthodox,55,69,17
Welterweight (70.4–77.1 kg),70.31,0,0,5/3/1985,0,172.72,9,John Makdessi,"""The Bull""",172.72,68,4.15,5.52,49,Orthodox,0,86,18
Featherweight (61.3–65.8 kg),61.23,0,0,2/5/1996,0,172.72,1,Christian Ocon,"""The Don""",175.26,34,5.27,1.73,53,Orthodox,0,63,2
Flyweight (≤56.7 kg),56.7,0,1,3/8/1988,0,172.72,1,Jaime Alvarez,,175.26,56,4.53,2.73,40,Orthodox,33,50,6
Featherweight (61.3–65.8 kg),65.77,0,0,2/13/1995,0,172.72,1,Khusein Askhabov,"""Nohcho""",175.26,56,4.13,2,26,Orthodox,0,66,23
Featherweight (61.3–65.8 kg),61.23,0,4.77,5/5/1994,0,172.72,3,Joshua Weems,"""Wide Open""",175.26,61,3.34,5.25,64,Orthodox,40,100,11
Welterweight (70.4–77.1 kg),70.31,0,1,4/10/1995,0,172.72,3,Abdul-Kareem Al-Selwady,"""Pride of Palestine""",175.26,61,3.6,4.6,28,Orthodox,16,0,15
Featherweight (61.3–65.8 kg),61.23,0.2,0.65,10/17/1995,0,172.72,5,Raulian Paiva,,175.26,48,5.01,4.14,42,Orthodox,23,77,21
Flyweight (≤56.7 kg),56.7,0.2,0.7,5/18/1986,0,172.72,6,Marco Beltran,"""Psycho""",175.26,63,1.93,2.07,37,Orthodox,50,46,8
Featherweight (61.3–65.8 kg),65.77,0,1.44,2/16/1989,0,172.72,6,Andy Ogle,"""The Little Axe""",175.26,50,2.23,2.24,44,Orthodox,26,58,9
Featherweight (61.3–65.8 kg),61.23,0.2,1.26,12/18/1985,0,172.72,7,Davey Grant,"""Dangerous""",175.26,55,3.82,4.77,42,Orthodox,41,61,15
Featherweight (61.3–65.8 kg),65.77,0,2.9,5/4/1994,0,172.72,11,Shayilan Nuerdanbieke,"""Wolverine""",175.26,50,2.94,2.28,45,Orthodox,33,40,39
Welterweight (70.4–77.1 kg),70.31,0,0.74,9/26/1984,0,172.72,16,Ross Pearson,"""The Real Deal""",175.26,62,4.09,3.68,40,Orthodox,35,75,20
Featherweight (61.3–65.8 kg),61.23,0,0,11/4/1984,0,172.72,1,Oron Kahlon,,177.8,36,4.93,0.85,37,Orthodox,0,40,16
Featherweight (61.3–65.8 kg),65.77,0,0,1/13/1992,0,172.72,2,Angel Pacheco,,177.8,35,13.6,13.13,40,Orthodox,0,33,7
Featherweight (61.3–65.8 kg),65.77,0,0,5/10/1995,0,172.72,2,Yoshinori Horie,,177.8,48,5.65,2.76,49,Orthodox,0,0,8
Featherweight (61.3–65.8 kg),65.77,0,0.89,6/27/1983,0,172.72,2,Ernest Chavez,"""The Mad Titan""",177.8,59,3.89,2.79,40,Orthodox,33,50,10
Welterweight (70.4–77.1 kg),70.31,0,0,9/28/1995,0,172.72,2,Bogdan Grad,,177.8,45,9.4,1.45,50,Orthodox,0,0,11
Middleweight (77.2–83.9 kg),77.11,0,0.25,5/2/1984,0,172.72,2,Aleksei Kunchenko,,177.8,63,2.83,3.67,44,Orthodox,33,80,20
Featherweight (61.3–65.8 kg),61.23,0,3.54,7/17/1988,0,172.72,3,Alfred Khashakyan,,177.8,40,6.38,6.14,42,Orthodox,25,0,8
Featherweight (61.3–65.8 kg),65.77,0,1.92,4/14/1987,0,172.72,4,Nad Narimani,"""Smiler""",177.8,58,3,3.33,42,Orthodox,41,70,12
Welterweight (70.4–77.1 kg),70.31,0,0.86,7/17/1991,0,172.72,5,Victor Martinez,"""The Brick""",177.8,54,7.45,8.65,50,Orthodox,50,80,13
Featherweight (61.3–65.8 kg),61.23,0,0.67,4/13/1998,0,172.72,7,Xiao Long,,177.8,54,3.49,5.13,49,Orthodox,25,78,26
Featherweight (61.3–65.8 kg),65.77,0.4,1.09,11/2/1983,0,172.72,13,Cub Swanson,,177.8,59,3.84,4.7,50,Orthodox,52,61,29
Featherweight (61.3–65.8 kg),61.23,0.3,4.06,4/30/1999,0,172.72,2,Brady Hiestand,,180.34,53,3.65,2.93,52,Orthodox,46,42,8
Featherweight (61.3–65.8 kg),65.77,0,1,3/5/1996,0,172.72,3,Mateo Vogel,,180.34,65,2.87,4.47,46,Orthodox,16,0,8
Welterweight (70.4–77.1 kg),70.31,0,1.01,11/27/1990,0,172.72,3,Lukasz Sajewski,"""Wookiee""",180.34,57,3.88,2.06,35,Orthodox,25,66,13
Welterweight (70.4–77.1 kg),70.31,0,1.11,12/28/1995,0,172.72,4,Ismael Bonfim,"""Marreta""",180.34,76,2.66,4.91,57,Orthodox,28,81,19
Featherweight (61.3–65.8 kg),61.23,0,1.08,5/28/1982,0,172.72,5,James Barnes,"""Mooka""",180.34,39,3.02,0.57,34,Orthodox,16,40,14
Middleweight (77.2–83.9 kg),77.11,0.2,3.08,9/1/1980,0,172.72,7,Mike Pierce,,180.34,62,2.36,2.62,42,Orthodox,42,71,17
Featherweight (61.3–65.8 kg),61.23,0.3,0.89,6/25/1987,0,172.72,8,Rob Font,,180.34,56,3.65,5.53,45,Orthodox,35,46,20
Featherweight (61.3–65.8 kg),61.23,0,0.5,3/31/1986,0,172.72,9,Terrion Ware,"""Flash""",180.34,50,6.07,4.02,32,Orthodox,22,44,17
Featherweight (61.3–65.8 kg),65.77,0,0.46,7/2/1988,0,172.72,10,Marcelo Rojo,"""Pitbull""",180.34,55,6.42,4.92,39,Orthodox,50,66,16
Light Heavyweight (84.0–93.0 kg),83.91,0,3.1,10/10/1980,0,172.72,11,Terry Martin,,180.34,54,3.13,2.82,43,Orthodox,42,92,23
Featherweight (61.3–65.8 kg),61.23,0,4,8/10/1992,0,172.72,0,Mo Miller,,182.88,60,1.33,1.87,45,Orthodox,80,0,6
Welterweight (70.4–77.1 kg),70.31,0,0,12/12/2001,0,172.72,2,Jae Hyun Park,,182.88,21,1,0.8,63,Orthodox,0,22,6
Featherweight (61.3–65.8 kg),61.23,0,0,7/21/1993,0,172.72,2,MinWoo Kim,,182.88,0,0,0,0,Orthodox,0,0,10
Welterweight (70.4–77.1 kg),70.31,0,2.86,9/23/1984,0,172.72,2,Mark Madsen,"""The Olympian""",182.88,52,3.97,3.56,49,Orthodox,66,62,12
Welterweight (70.4–77.1 kg),70.31,0,0.72,9/11/1990,0,172.72,3,Te Edwards,"""Tango""",182.88,44,4.15,1.5,41,Orthodox,100,44,6
Featherweight (61.3–65.8 kg),65.77,0,0,10/11/1990,0,172.72,4,Sheymon Moraes,,182.88,63,3.64,3,42,Orthodox,0,53,11
Featherweight (61.3–65.8 kg),65.77,0.2,1.99,7/12/1994,0,172.72,4,Tucker Lutz,"""Top Gun""",182.88,44,3.25,3.74,46,Orthodox,44,69,12
Featherweight (61.3–65.8 kg),65.77,0,0,6/13/1992,0,172.72,5,Suman Mokhtarian,,182.88,48,6.85,2.21,43,Orthodox,0,0,8
Featherweight (61.3–65.8 kg),65.77,0,0.63,7/31/1993,0,172.72,8,Shane Young,"""Maraenui""",182.88,52,5.46,5.19,40,Orthodox,18,64,13
Featherweight (61.3–65.8 kg),61.23,0,2,3/15/1994,0,172.72,0,Cheyden Leialoha,"""Steadfast""",185.42,53,3.2,1.87,28,Orthodox,33,71,6
Welterweight (70.4–77.1 kg),70.31,0,1,12/15/1990,0,172.72,1,Roman Bogatov,,185.42,44,4.4,3.33,42,Orthodox,9,50,10
Welterweight (70.4–77.1 kg),70.31,0.1,3.95,11/4/1986,0,172.72,4,Rustam Khabilov,"""Tiger""",185.42,65,2.16,1.98,34,Orthodox,41,61,24
Light Heavyweight (84.0–93.0 kg),83.91,0,0,8/10/1993,0,172.72,1,Val Woodburn,"""The Animal""",187.96,30,11.05,3.16,22,Orthodox,0,100,7
Light Heavyweight (84.0–93.0 kg),83.91,0,2.14,7/31/1987,0,172.72,6,Dalcha Lungiambula,"""Champion""",193.04,52,3.93,3.07,45,Orthodox,45,77,11
Heavyweight (>=93.1 kg),102.51,0,0,,0,175.26,0,Alex Hunter,,,0,0,0,0,Orthodox,0,0,2
Middleweight (77.2–83.9 kg),77.11,0,0,,0,175.26,0,Bob Cook,,,0,0,0,0,Orthodox,0,0,5
Featherweight (61.3–65.8 kg),65.77,0,0,1/6/1991,0,175.26,0,Martin Buschkamp,"""Barracuda""",,0,0,0,0,Orthodox,0,0,9
Light Heavyweight (84.0–93.0 kg),92.99,0,0,,0,175.26,1,Roland Payne,,,0,0,0,0,Orthodox,0,0,0
Heavyweight (>=93.1 kg),106.59,0,0,,0,175.26,1,John Campetella,,,0,0,0,0,Orthodox,0,0,0
Heavyweight (>=93.1 kg),99.79,0,0,8/24/1968,0,175.26,1,James Toney,"""Lights Out""",,27,2.41,0,0,Orthodox,0,0,0
Light Heavyweight (84.0–93.0 kg),90.72,0,0,,0,175.26,1,Mark Schultz,,,0,0,0,0,Orthodox,0,0,1
Middleweight (77.2–83.9 kg),77.11,0,1,12/23/1980,0,175.26,1,Dan Barrera,,,28,1.2,0.8,70,Orthodox,8,0,3
Featherweight (61.3–65.8 kg),65.77,0,0,1/10/1989,0,175.26,1,Anvar Boynazarov,,,29,7.83,0,0,Orthodox,0,0,3
Featherweight (61.3–65.8 kg),61.23,0,0,10/25/1987,0,175.26,1,James Gray,"""The Phenom""",,44,18.26,2.61,50,Orthodox,0,0,4
Featherweight (61.3–65.8 kg),65.77,0,0,9/4/1992,0,175.26,1,Yazan Hajeh,"""Yazzle Dazzle""",,44,17.44,1.54,25,Orthodox,0,100,6
Middleweight (77.2–83.9 kg),77.11,0,0,,0,175.26,2,Valeri Ignatov,,,0,0,0,0,Orthodox,0,0,1
Featherweight (61.3–65.8 kg),65.77,0,1,4/8/1987,0,175.26,2,Rocky Lee,,,44,5.33,2.47,51,Orthodox,10,33,3
Middleweight (77.2–83.9 kg),77.11,0,3.1,2/1/1980,0,175.26,2,Troy Mandaloniz,"""Rude Boy""",,63,4.71,3.52,56,Orthodox,66,57,3
Light Heavyweight (84.0–93.0 kg),83.91,0,0,,0,175.26,2,Amaury Bitetti,,,0,0,0,0,Orthodox,0,0,5
Welterweight (70.4–77.1 kg),70.31,0,0,9/25/1990,0,175.26,2,Austin Tweedy,"""The Flash""",,0,6.43,4.29,66,Orthodox,0,0,8
Featherweight (61.3–65.8 kg),65.77,0,0,11/14/1982,0,175.26,2,Stephen Bass,"""Bigfish""",,55,5.87,4.87,52,Orthodox,0,0,11
Featherweight (61.3–65.8 kg),65.77,0,0,6/29/1987,0,175.26,2,Maurice Mitchell,,,60,3.54,3.8,55,Orthodox,0,100,11
Light Heavyweight (84.0–93.0 kg),83.91,0.3,3,7/17/1987,0,175.26,2,Bruno Santos,"""Carioca""",,56,2.27,1.18,46,Orthodox,37,66,15
Welterweight (70.4–77.1 kg),70.31,0,0,2/7/1989,0,175.26,4,Gleidson Cutis,"""Poney""",,59,8.28,2.99,52,Orthodox,0,0,7
Middleweight (77.2–83.9 kg),77.11,0,0,10/18/1975,0,175.26,5,Brandon Wolff,,,19,10.91,0.47,33,Orthodox,0,0,7
Middleweight (77.2–83.9 kg),77.11,0,9.09,4/25/1985,0,175.26,5,Manuel Rodriguez,"""Chalate""",,38,3.23,0.81,33,Orthodox,75,0,11
Welterweight (70.4–77.1 kg),70.31,0,0,4/12/1985,0,175.26,5,Felipe Olivieri,,,57,4.6,6.68,58,Orthodox,0,71,14
Heavyweight (>=93.1 kg),102.06,0,0,5/28/1985,0,175.26,6,Angel De Anda,"""The Dream""",,47,6.32,5.68,46,Orthodox,0,0,18
Welterweight (70.4–77.1 kg),70.31,0,0,8/8/1988,0,175.26,7,Garrett Gross,"""Glory to God""",,46,1.67,2.39,45,Orthodox,0,52,11
Welterweight (70.4–77.1 kg),70.31,0,0,7/30/1987,0,175.26,7,Anthony Christodoulou,,,45,5.9,2.19,26,Orthodox,0,40,12
Middleweight (77.2–83.9 kg),83.01,0.3,0.27,7/1/1976,0,175.26,7,Amar Suloev,,,70,2.19,1.98,37,Orthodox,100,88,24
Middleweight (77.2–83.9 kg),77.11,0,1.12,6/13/1983,0,175.26,8,Paul Bradley,"""The Gentleman""",,56,4.13,2.26,32,Orthodox,16,100,23
Light Heavyweight (84.0–93.0 kg),83.91,0,0,5/7/1973,0,175.26,9,Lodune Sincaid,,,57,6.17,2.72,42,Orthodox,0,75,15
Middleweight (77.2–83.9 kg),77.11,0,0.94,7/30/1977,0,175.26,11,Josh Haynes,"""Bring The Pain""",,52,4.03,1.25,22,Orthodox,18,42,14
Heavyweight (>=93.1 kg),99.79,0,0,5/26/1964,0,175.26,15,Brad Kohler,,,0,0,0,0,Orthodox,0,0,12
Light Heavyweight (84.0–93.0 kg),92.99,0,0,8/16/1979,0,175.26,20,Ron Faircloth,,,42,8.9,0.39,40,Orthodox,0,0,33
Middleweight (77.2–83.9 kg),77.11,0.3,0.3,1/9/1971,0,175.26,23,Pete Spratt,"""The Secret Weapon""",,55,1.33,1.63,48,Orthodox,100,46,25
Featherweight (61.3–65.8 kg),65.77,0,4.04,7/14/2000,0,175.26,1,Robbie Ring,,172.72,38,9.15,5.11,38,Orthodox,33,0,6
Welterweight (70.4–77.1 kg),70.31,0,0.92,3/31/1995,0,175.26,1,Yanal Ashmouz,"""Red Fox""",172.72,59,5.35,3.08,42,Orthodox,50,50,7
Flyweight (≤56.7 kg),56.7,0,0,9/1/2000,0,175.26,3,Peter Danesoe,,172.72,37,7.02,4.98,54,Orthodox,0,62,6
Welterweight (70.4–77.1 kg),70.31,0,1.95,9/6/1988,0,175.26,6,Jared Gordon,"""Flash""",172.72,57,3.4,5.39,57,Orthodox,40,62,20
Featherweight (61.3–65.8 kg),61.23,0.2,2.09,9/7/1995,0,175.26,0,Javid Basharat,"""The Snow Leopard""",175.26,63,2.5,5.65,61,Orthodox,50,85,14
Featherweight (61.3–65.8 kg),61.23,0,0,12/16/1992,0,175.26,2,Brady Huang,,175.26,30,10.77,4.62,37,Orthodox,0,0,11
Featherweight (61.3–65.8 kg),65.77,0,0,1/24/1995,0,175.26,2,Yanis Ghemmouri,"""The Desert Warrior""",175.26,40,4.22,2.27,38,Orthodox,0,0,12
Middleweight (77.2–83.9 kg),77.11,0,0,9/6/1991,0,175.26,3,Jonny Parsons,"""The Sluggernaut""",175.26,60,4.89,4.65,44,Orthodox,0,66,9
Featherweight (61.3–65.8 kg),61.23,0,0,9/17/1997,0,175.26,4,Cameron Smotherman,,175.26,35,13,4,36,Orthodox,0,0,8
Welterweight (70.4–77.1 kg),70.31,0.2,1.88,9/30/1983,0,175.26,6,Scott Holtzman,"""Hot Sauce""",175.26,55,3.66,4.32,47,Orthodox,56,67,14
Welterweight (70.4–77.1 kg),70.31,0,0,5/8/2000,0,175.26,1,Sho Patrick Usami,,177.8,0,0,0,0,Orthodox,0,0,4
Welterweight (70.4–77.1 kg),70.31,0,0,1/12/1996,0,175.26,2,Brendon Marotte,"""The Kid """,177.8,33,42,3,100,Orthodox,0,0,8
Featherweight (61.3–65.8 kg),65.77,0,1.58,8/7/1994,0,175.26,2,Muhammad Naimov,"""Hillman""",177.8,41,4.66,3.37,46,Orthodox,28,57,10
Welterweight (70.4–77.1 kg),70.31,0.2,0.67,11/29/1984,0,175.26,2,Rashid Magomedov,"""Goretz""",177.8,54,3.05,4.4,49,Orthodox,57,89,20
Welterweight (70.4–77.1 kg),70.31,0,0,10/22/1989,0,175.26,3,Issa Isakov,,177.8,40,5.78,1.93,36,Orthodox,0,0,10
Welterweight (70.4–77.1 kg),70.31,0,0.97,12/17/1981,0,175.26,3,Francisco Trevino,"""Sitkayan""",177.8,64,2.42,2.65,42,Orthodox,22,41,13
Welterweight (70.4–77.1 kg),70.31,0,0,2/8/1993,0,175.26,5,Nikolas Motta,"""Iron""",177.8,52,4.61,2.65,30,Orthodox,0,82,13
Flyweight (≤56.7 kg),56.7,0.2,0.88,5/27/1986,0,175.26,6,Will Campuzano,,177.8,57,3.82,2.43,31,Orthodox,45,48,14
Featherweight (61.3–65.8 kg),65.77,0,0,5/30/1979,0,175.26,6,Antonio Carvalho,"""Pato""",177.8,64,3.62,3.03,29,Orthodox,0,100,15
Featherweight (61.3–65.8 kg),61.23,0,0.14,11/12/1990,0,175.26,7,Vince Morales,"""Vandetta""",177.8,53,4.24,4.17,37,Orthodox,25,64,11
Welterweight (70.4–77.1 kg),70.31,0.2,0.78,8/8/1986,0,175.26,7,Damir Hadzovic,"""The Bosnian Bomber""",177.8,62,3.26,3.36,48,Orthodox,55,34,14
Featherweight (61.3–65.8 kg),61.23,0.2,1.25,10/23/1988,0,175.26,8,Andre Soukhamthath,"""The Asian Sensation""",177.8,49,4.31,2.77,44,Orthodox,53,58,13
Featherweight (61.3–65.8 kg),65.77,0,1.33,10/6/1989,0,175.26,8,Sean Soriano,,177.8,56,2.14,3.18,61,Orthodox,55,52,14
Middleweight (77.2–83.9 kg),77.11,0.3,0.61,10/8/1976,0,175.26,13,Ryo Chonan,"""Piranha""",177.8,60,2.25,2.57,43,Orthodox,41,39,22
Middleweight (77.2–83.9 kg),77.11,0.3,0.71,10/3/1983,0,175.26,15,Thiago Alves,"""Pitbull""",177.8,62,3.42,3.73,41,Orthodox,60,63,23
Featherweight (61.3–65.8 kg),65.77,0,3.94,3/16/1987,0,175.26,2,Erik Silva,"""The King""",180.34,40,1.58,2.17,71,Orthodox,80,71,9
Featherweight (61.3–65.8 kg),65.77,0,2.28,2/20/1993,0,175.26,3,Collin Anglin,,180.34,51,5.54,4.59,48,Orthodox,66,100,8
Featherweight (61.3–65.8 kg),61.23,0.2,1,6/5/1993,0,175.26,3,Ricky Turcios,,180.34,55,3.7,5.08,37,Orthodox,25,45,13
Featherweight (61.3–65.8 kg),65.77,0.3,2.26,10/14/1986,0,175.26,3,Jim Alers,"""The Beast""",180.34,56,4.38,2.9,40,Orthodox,41,80,13
Featherweight (61.3–65.8 kg),65.77,0.4,0.28,5/19/1993,0,175.26,3,Sodiq Yusuff,"""Super""",180.34,54,4.33,5.72,49,Orthodox,20,62,13
Featherweight (61.3–65.8 kg),61.23,0,0,11/24/1995,0,175.26,4,Baergeng Jieleyisi,,180.34,45,3.87,2.53,38,Orthodox,0,0,12
Welterweight (70.4–77.1 kg),70.31,0.4,2.55,8/25/1987,0,175.26,6,Piotr Hallmann,,180.34,58,3.17,3.98,45,Orthodox,44,70,18
Welterweight (70.4–77.1 kg),70.31,0.2,2.95,8/25/1979,0,175.26,10,Danny Castillo,"""Last Call""",180.34,62,1.96,2.57,42,Orthodox,38,63,17
Middleweight (77.2–83.9 kg),77.11,0,1.3,9/22/1975,0,175.26,10,Forrest Petz,"""The Meat Cleaver""",180.34,57,2.2,2.27,29,Orthodox,100,66,26
Welterweight (70.4–77.1 kg),70.31,0,0.65,8/19/1982,0,175.26,12,Kyle Bradley,,180.34,58,3.45,1.99,40,Orthodox,50,40,19
Middleweight (77.2–83.9 kg),77.11,0.4,2.04,3/28/1985,0,175.26,15,Jake Ellenberger,"""The Juggernaut""",180.34,60,2.83,2.47,39,Orthodox,47,86,31
Featherweight (61.3–65.8 kg),65.77,0,14,4/28/1991,0,175.26,0,Justin Gonzales,"""J-Train""",182.88,43,0.87,6.67,80,Orthodox,73,100,6
Welterweight (70.4–77.1 kg),70.31,0,7.08,11/24/1985,0,175.26,1,John Gunther,"""The Machine""",182.88,46,3.72,1.65,37,Orthodox,42,0,5
Middleweight (77.2–83.9 kg),77.11,0,1,7/9/1990,0,175.26,3,Charles Radtke,"""Chuck Buffalo""",182.88,53,2.93,2.33,46,Orthodox,16,100,8
Middleweight (77.2–83.9 kg),77.11,0.3,1.22,3/10/1982,0,175.26,4,Jesse Lennox,"""The Ox""",182.88,64,3.2,2.69,32,Orthodox,66,63,14
Middleweight (77.2–83.9 kg),77.11,0.1,3.72,7/14/1987,0,175.26,6,Alex Garcia,"""The Dominican Nightmare""",182.88,59,3.03,1.81,31,Orthodox,52,66,15
Welterweight (70.4–77.1 kg),70.31,0,0.45,3/3/1983,0,175.26,7,Nate Mohr,,182.88,74,2.5,3.79,41,Orthodox,50,71,9
Featherweight (61.3–65.8 kg),65.77,0.1,1.2,10/1/1992,0,175.26,7,Alexander Hernandez,"""The Great Ape""",182.88,56,4.9,4.63,41,Orthodox,31,60,14
Featherweight (61.3–65.8 kg),65.77,0,1.98,6/28/1986,0,175.26,6,Jason Young,"""Shotgun""",185.42,50,3.2,2.97,37,Orthodox,66,55,9
Welterweight (70.4–77.1 kg),70.31,0,1.34,8/8/1988,0,175.26,6,Mairbek Taisumov,"""Beckan""",185.42,64,3.03,2.98,39,Orthodox,63,88,27
Featherweight (61.3–65.8 kg),65.77,0.2,1.64,4/12/1982,0,175.26,8,Gilbert Melendez,"""El Niño""",185.42,63,2.53,3.44,33,Orthodox,41,71,22
Featherweight (61.3–65.8 kg),61.23,0,0,5/26/1988,0,175.26,0,Ricky Steele,,187.96,50,2.93,4.07,70,Orthodox,0,91,6
